"","year","site","nest","exp","type","laying_date","hatching_date","manip","male","female","chick1","chick2","chick3","chick4","chick5","chick6","X17"
"1",2006,"A",1,"U","U",427,NA,NA,"802109713","CA226",NA,NA,NA,NA,NA,NA,NA
"2",2006,"A",2,"U","U",427,NA,NA,NA,"CA2082",NA,NA,NA,NA,NA,NA,NA
"3",2006,"A",3,"U","U",506,NA,NA,"CA143","802122911",NA,NA,NA,NA,NA,NA,NA
"4",2006,"A",4,"U","U",504,NA,NA,"CA110","CA101",NA,NA,NA,NA,NA,NA,NA
"5",2006,"A",5,"U","U",504,529,NA,"CA328","802122914","CA022","CA028",NA,NA,NA,NA,NA
"6",2006,"A",7,"U","U",506,531,NA,"CA1545","802122913","CA032","CA033","CA037",NA,NA,NA,NA
"7",2006,"A",101,"U","U",512,606,NA,"CA050","CA103","CA087","CA088",NA,NA,NA,NA,NA
"8",2006,"A",102,"U","U",507,NA,NA,NA,"802122930",NA,NA,NA,NA,NA,NA,NA
"9",2006,"A",103,"U","U",511,605,NA,"CA052","CA102","CA075","CA076","CA086",NA,NA,NA,NA
"10",2006,"A",104,"U","U",516,610,NA,"CA051","802109760","CA207","CA209",NA,NA,NA,NA,NA
"11",2006,"A",105,"U","U",503,NA,NA,NA,"CA2037",NA,NA,NA,NA,NA,NA,NA
"12",2006,"B",-1,"U","U",NA,NA,NA,NA,"802109777","CA083","CA084","CA085",NA,NA,NA,NA
"13",2006,"B",1,"U","U",501,NA,NA,"802109744","CA241",NA,NA,NA,NA,NA,NA,NA
"14",2006,"B",2,"U","U",504,529,NA,"802122903","CA245","CA023",NA,NA,NA,NA,NA,NA
"15",2006,"B",3,"U","U",425,NA,NA,"CA203","CA039",NA,NA,NA,NA,NA,NA,NA
"16",2006,"B",4,"U","U",508,602,NA,"802122925","802122928","CA045","CA046","CA055",NA,NA,NA,NA
"17",2006,"B",5,"U","U",511,605,NA,"CA057","802109721","CA072","CA073","CA077",NA,NA,NA,NA
"18",2006,"B",6,"U","U",511,605,NA,"RX.WX|YX.BX","RX.WX|YX.WX","CA070","CA071",NA,NA,NA,NA,NA
"19",2006,"B",7,"U","U",514,608,NA,"CA043","CA112","CA097",NA,NA,NA,NA,NA,NA
"20",2006,"B",8,"U","U",517,611,NA,"CA042","CA113","CA212","CA213",NA,NA,NA,NA,NA
"21",2006,"B",9,"U","U",521,NA,NA,"CA080",NA,NA,NA,NA,NA,NA,NA,NA
"22",2006,"B",101,"U","U",501,NA,NA,"802109714",NA,NA,NA,NA,NA,NA,NA,NA
"23",2006,"B",207,"U","U",524,618,NA,"CA203","CA204","CA184","CA187",NA,NA,NA,NA,NA
"24",2006,"B",208,"U","U",513,607,NA,"CA091","CA126","CA089","CA090","XX.XX|SX.XX",NA,NA,NA,NA
"25",2006,"B",209,"U","U",513,607,NA,"CA123","CA125","CA124","CA130","CA131",NA,NA,NA,NA
"26",2006,"C",111,"U","U",516,604,NA,NA,NA,"CA074",NA,NA,NA,NA,NA,NA
"27",2006,"C",-1,"U","U",NA,NA,NA,"CA142",NA,"802122927",NA,NA,NA,NA,NA,NA
"28",2006,"C",1,"U","U",424,519,NA,"CA220","CA177","802122931","802122934","802122935",NA,NA,NA,NA
"29",2006,"C",3,"U","U",NA,NA,NA,"CA156","CA202",NA,NA,NA,NA,NA,NA,NA
"30",2006,"C",5,"U","U",429,603,NA,"CA007","802109742","CA056",NA,NA,NA,NA,NA,NA
"31",2006,"C",6,"U","U",507,NA,NA,"802109793","CA011",NA,NA,NA,NA,NA,NA,NA
"32",2006,"C",7,"U","U",508,602,NA,"CA2221","CA002","CA053",NA,NA,NA,NA,NA,NA
"33",2006,"C",8,"U","U",507,608,NA,"CA029","CA015","CA094",NA,NA,NA,NA,NA,NA
"34",2006,"C",9,"U","U",510,NA,NA,"CA030","CA012",NA,NA,NA,NA,NA,NA,NA
