"","Year","Nest_ID","Male_ID","Female_ID","Chick1_ID","Chick1_HD","Chick1_Fate","Chick2_ID","Chick2_HD","Chick2_Fate","Chick3_ID","Chick3_HD","Chick3_Fate","Chick4_ID","Chick4_HD","Chick4_Fate","Chick5_ID","Chick5_HD","Chick5_Fate","Date","Date2","Hatching_date","Parents","male_care","female_care","Brood_age","Chicks_nr","Chick1_pres","Chick2_pres","Chick3_pres","Chick4_pres","Chick5_pres","Chick1_surv_age","Chick2_surv_age","Chick3_surv_age","Chick4_surv_age","Chick5_surv_age","Female_dur_care","Male_dur_care","M_weight","F_weight","M_right_tarsus","F_right_tarsus","M_left_tarsus","F_left_tarsus","M_left_wing","F_left_wing","M_right_wing","F_right_wing","M_cap_date","F_cap_date","Manipulation"
"1",2006,"2006_A101","CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,606,"2006-06-06","2006-06-06",4,1,1,0,1,2,0,NA,NA,NA,8,7,NA,NA,NA,8,10,38.25,42.75,25.5,25.8,25.3,25.8,107,106,109,107,602,527,"U"
"2",2006,"2006_A101","CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,607,"2006-06-07","2006-06-06",4,1,1,1,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,10,38.25,42.75,25.5,25.8,25.3,25.8,107,106,109,107,602,527,"U"
"3",2006,"2006_A101","CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,608,"2006-06-08","2006-06-06",4,1,1,2,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,10,38.25,42.75,25.5,25.8,25.3,25.8,107,106,109,107,602,527,"U"
"4",2006,"2006_A101","CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,610,"2006-06-10","2006-06-06",4,1,1,4,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,10,38.25,42.75,25.5,25.8,25.3,25.8,107,106,109,107,602,527,"U"
"5",2006,"2006_A101","CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,611,"2006-06-11","2006-06-06",4,1,1,5,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,10,38.25,42.75,25.5,25.8,25.3,25.8,107,106,109,107,602,527,"U"
"6",2006,"2006_A101","CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,612,"2006-06-12","2006-06-06",4,1,1,6,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,10,38.25,42.75,25.5,25.8,25.3,25.8,107,106,109,107,602,527,"U"
"7",2006,"2006_A101","CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,615,"2006-06-15","2006-06-06",3,1,0,9,0,0,0,NA,NA,NA,8,7,NA,NA,NA,8,10,38.25,42.75,25.5,25.8,25.3,25.8,107,106,109,107,602,527,"U"
"8",2006,"2006_A103","CA052","CA102","CA075","2006-06-05","died","CA076","2006-06-05","died","CA086","2006-06-06","died",NA,NA,NA,NA,NA,NA,605,"2006-06-05","2006-06-05",4,1,1,0,2,2,2,0,NA,NA,8.5,8.5,1.5,NA,NA,9,15,40,42,24.7,25.7,24.7,25.7,109,109,111,109,602,527,"U"
"9",2006,"2006_A103","CA052","CA102","CA075","2006-06-05","died","CA076","2006-06-05","died","CA086","2006-06-06","died",NA,NA,NA,NA,NA,NA,606,"2006-06-06","2006-06-05",4,1,1,1,3,2,2,2,NA,NA,8.5,8.5,1.5,NA,NA,9,15,40,42,24.7,25.7,24.7,25.7,109,109,111,109,602,527,"U"
"10",2006,"2006_A103","CA052","CA102","CA075","2006-06-05","died","CA076","2006-06-05","died","CA086","2006-06-06","died",NA,NA,NA,NA,NA,NA,607,"2006-06-07","2006-06-05",4,1,1,2,2,2,2,0,NA,NA,8.5,8.5,1.5,NA,NA,9,15,40,42,24.7,25.7,24.7,25.7,109,109,111,109,602,527,"U"
