"","X","dayID","Nest_ID","Brood_age","Date2","Year","Male_ID","Female_ID","Chick1_ID","Chick1_HD","Chick1_Fate","Chick2_ID","Chick2_HD","Chick2_Fate","Chick3_ID","Chick3_HD","Chick3_Fate","Chick4_ID","Chick4_HD","Chick4_Fate","Chick5_ID","Chick5_HD","Chick5_Fate","Date","Hatching_date","Parents","male_care","female_care","Chicks_nr","Chick1_pres","Chick2_pres","Chick3_pres","Chick4_pres","Chick5_pres","Chick1_surv_age","Chick2_surv_age","Chick3_surv_age","Chick4_surv_age","Chick5_surv_age","Female_dur_care","Male_dur_care","Manipulation","M_tarsus_mean","Male_CI","F_tarsus_mean","Female_CI","Chick1_pres_full","Chick2_pres_full","Chick3_pres_full","Chick4_pres_full","Chick5_pres_full","Chick_nr2","julian_hatching_date","Mean_hatching_date","Sd","Relative_hatching_date","Chick_presence_max_age","Chick_presence_max_day","Male_care_full","Female_care_full","Brood_fate","Chick1_pres_lead","Chick2_pres_lead","Chick3_pres_lead","Chick4_pres_lead","Chick5_pres_lead","Female_care_lead","Chick1_change_lead","Chick2_change_lead","Chick3_change_lead","Chick4_change_lead","Chick5_change_lead","Chick_change_nr","Chick_change","Female_change","End_of_care","Mean_brood_CI","Max_chick_CI"
"1",1,"2006_A101_0","2006_A101",0,"2006-06-06",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,606,"2006-06-06",4,1,1,1,2,0,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",25.3,38.4323734052243,25.8,38.7637416035436,1,0,NA,NA,NA,1,157,157.931684334511,10.4953964353044,-0.0887707615671577,8,7,1,1,"died",1,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,"Brood failure",6.22073206297303,6.26971420520117
"2",2,"2006_A101_1","2006_A101",1,"2006-06-07",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,607,"2006-06-06",4,1,1,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",25.3,38.4323734052243,25.8,38.7637416035436,1,1,NA,NA,NA,2,157,157.931684334511,10.4953964353044,-0.0887707615671577,8,7,1,1,"died",1,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,"Brood failure",6.22073206297303,6.26971420520117
"3",3,"2006_A101_2","2006_A101",2,"2006-06-08",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,608,"2006-06-06",4,1,1,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",25.3,38.4323734052243,25.8,38.7637416035436,1,1,NA,NA,NA,2,157,157.931684334511,10.4953964353044,-0.0887707615671577,8,7,1,1,"died",1,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,"Brood failure",6.22073206297303,6.26971420520117
"4",4,"2006_A101_3","2006_A101",3,"2006-06-09",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",25.3,38.4323734052243,25.8,38.7637416035436,1,1,NA,NA,NA,2,157,157.931684334511,10.4953964353044,-0.0887707615671577,8,7,1,1,"died",1,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,"Brood failure",6.22073206297303,6.26971420520117
"5",5,"2006_A101_4","2006_A101",4,"2006-06-10",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,610,"2006-06-06",4,1,1,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",25.3,38.4323734052243,25.8,38.7637416035436,1,1,NA,NA,NA,2,157,157.931684334511,10.4953964353044,-0.0887707615671577,8,7,1,1,"died",1,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,"Brood failure",6.22073206297303,6.26971420520117
"6",6,"2006_A101_5","2006_A101",5,"2006-06-11",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,611,"2006-06-06",4,1,1,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",25.3,38.4323734052243,25.8,38.7637416035436,1,1,NA,NA,NA,2,157,157.931684334511,10.4953964353044,-0.0887707615671577,8,7,1,1,"died",1,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,"Brood failure",6.22073206297303,6.26971420520117
"7",7,"2006_A101_6","2006_A101",6,"2006-06-12",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,612,"2006-06-06",4,1,1,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",25.3,38.4323734052243,25.8,38.7637416035436,1,1,NA,NA,NA,2,157,157.931684334511,10.4953964353044,-0.0887707615671577,8,7,1,1,"died",1,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,"Brood failure",6.22073206297303,6.26971420520117
"8",8,"2006_A101_7","2006_A101",7,"2006-06-13",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",25.3,38.4323734052243,25.8,38.7637416035436,1,1,NA,NA,NA,2,157,157.931684334511,10.4953964353044,-0.0887707615671577,8,7,1,1,"died",0,0,NA,NA,NA,0,1,1,NA,NA,NA,2,1,1,"Brood failure",6.22073206297303,6.26971420520117
"9",9,"2006_A101_8","2006_A101",8,"2006-06-14",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",25.3,38.4323734052243,25.8,38.7637416035436,0,0,NA,NA,NA,0,157,157.931684334511,10.4953964353044,-0.0887707615671577,8,7,0,0,"died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Brood failure",6.22073206297303,6.26971420520117
"10",10,"2006_A104_0","2006_A104",0,"2006-06-10",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,610,"2006-06-10",0,1,1,2,2,2,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",26,34.6312122424571,26.2,37.243764170019,1,1,NA,NA,NA,2,161,157.931684334511,10.4953964353044,0.292348715401317,14.5,14,1,1,"unknown",1,1,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,"Desertion",5.74990327615569,5.7951781051018
