"","X","dayID","Nest_ID","Brood_age","Date2","Year","Male_ID","Female_ID","Chick1_ID","Chick1_HD","Chick1_Fate","Chick2_ID","Chick2_HD","Chick2_Fate","Chick3_ID","Chick3_HD","Chick3_Fate","Chick4_ID","Chick4_HD","Chick4_Fate","Chick5_ID","Chick5_HD","Chick5_Fate","Date","Hatching_date","Parents","male_care","female_care","Chicks_nr","Chick1_pres","Chick2_pres","Chick3_pres","Chick4_pres","Chick5_pres","Chick1_surv_age","Chick2_surv_age","Chick3_surv_age","Chick4_surv_age","Chick5_surv_age","Female_dur_care","Male_dur_care","Manipulation","Chick1_pres_full","Chick2_pres_full","Chick3_pres_full","Chick4_pres_full","Chick5_pres_full","Chick_nr2","M_tarsus_mean","Male_CI","F_tarsus_mean","Female_CI","julian_hatching_date","Mean_hatching_date","Sd","Relative_hatching_date","Chick_presence_max_age","Chick_presence_max_day","Male_care_full","Female_care_full","Brood_fate","Female_care_lead","Chick_change_nr","Chick_change","Female_change","End_of_care","Mean_brood_CI","Max_chick_CI","Manip_type","Brood_max_size"
"1",1,"2006_A5_0","2006_A5",0,"2006-05-29",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,529,"2006-05-29",4,1,1,1,2,0,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",1,0,NA,NA,NA,1,25.2,38.5101829622377,24.6,42.7075945255758,149,158.116306954436,10.470659757475,-0.870652582128679,6.5,6,1,1,"died",1,0,0,0,"Desertion",5.8058867197651,6.04962314437918,"U",3
"2",2,"2006_A5_1","2006_A5",1,"2006-05-30",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,530,"2006-05-29",4,1,1,2,2,2,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",1,1,NA,NA,NA,2,25.2,38.5101829622377,24.6,42.7075945255758,149,158.116306954436,10.470659757475,-0.870652582128679,6.5,6,1,1,"died",1,0,0,0,"Desertion",5.8058867197651,6.04962314437918,"U",3
"3",3,"2006_A5_2","2006_A5",2,"2006-05-31",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,531,"2006-05-29",4,1,1,2,2,2,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",1,1,NA,NA,NA,2,25.2,38.5101829622377,24.6,42.7075945255758,149,158.116306954436,10.470659757475,-0.870652582128679,6.5,6,1,1,"died",0,0,0,1,"Desertion",5.8058867197651,6.04962314437918,"U",3
"4",4,"2006_A5_3","2006_A5",3,"2006-06-01",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,601,"2006-05-29",3,1,0,2,2,2,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",1,1,NA,NA,NA,2,25.2,38.5101829622377,24.6,42.7075945255758,149,158.116306954436,10.470659757475,-0.870652582128679,6.5,6,1,0,"died",0,0,0,0,"Desertion",5.8058867197651,6.04962314437918,"U",3
"5",5,"2006_A5_4","2006_A5",4,"2006-06-02",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-05-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",1,1,NA,NA,NA,2,25.2,38.5101829622377,24.6,42.7075945255758,149,158.116306954436,10.470659757475,-0.870652582128679,6.5,6,1,0,"died",0,1,1,0,"Desertion",5.8058867197651,6.04962314437918,"U",3
"6",6,"2006_A5_5","2006_A5",5,"2006-06-03",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-05-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",1,0,NA,NA,NA,1,25.2,38.5101829622377,24.6,42.7075945255758,149,158.116306954436,10.470659757475,-0.870652582128679,6.5,6,1,0,"died",0,0,0,0,"Desertion",5.8058867197651,6.04962314437918,"U",3
"7",7,"2006_A5_6","2006_A5",6,"2006-06-04",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,604,"2006-05-29",3,1,0,1,2,0,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",1,0,NA,NA,NA,1,25.2,38.5101829622377,24.6,42.7075945255758,149,158.116306954436,10.470659757475,-0.870652582128679,6.5,6,1,0,"died",0,1,1,0,"Desertion",5.8058867197651,6.04962314437918,"U",3
"8",8,"2006_A5_7","2006_A5",7,"2006-06-05",2006,"CA328","802122914","CA022","2006-05-29","died","CA028","2006-05-30","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,605,"2006-05-29",3,1,0,0,0,0,NA,NA,NA,6.5,4.5,NA,NA,NA,3,7,"U",0,0,NA,NA,NA,0,25.2,38.5101829622377,24.6,42.7075945255758,149,158.116306954436,10.470659757475,-0.870652582128679,6.5,6,0,0,"died",NA,0,0,NA,"Desertion",5.8058867197651,6.04962314437918,"U",3
"9",9,"2006_A7_0","2006_A7",0,"2006-05-31",2006,"CA1545","802122913","CA032","2006-05-31","fledged","CA033","2006-05-31","fledged","CA037","2006-05-31","fledged",NA,NA,NA,NA,NA,NA,531,"2006-05-31",4,1,1,3,2,2,2,NA,NA,26,26,26,NA,NA,26,26,"U",1,1,1,NA,NA,3,26.3,34.9738147336045,23.8,41.2459722416741,151,158.116306954436,10.470659757475,-0.679642650918547,26,26,1,1,"fledged",1,0,0,0,"Full term care",5.85403762670129,6.45422587134669,"U",2
"10",10,"2006_A7_1","2006_A7",1,"2006-06-01",2006,"CA1545","802122913","CA032","2006-05-31","fledged","CA033","2006-05-31","fledged","CA037","2006-05-31","fledged",NA,NA,NA,NA,NA,NA,601,"2006-05-31",4,1,1,3,2,2,2,NA,NA,26,26,26,NA,NA,26,26,"U",1,1,1,NA,NA,3,26.3,34.9738147336045,23.8,41.2459722416741,151,158.116306954436,10.470659757475,-0.679642650918547,26,26,1,1,"fledged",1,0,0,0,"Full term care",5.85403762670129,6.45422587134669,"U",2
