Nest_ID,year,ring,date,time,sex,site,nest,left_tarsus,right_tarsus,left_wing,right_wing,weight,fat,blood,code,moult,observer,comments
2006_,2006,802109792,607,1899-12-31 18:50:00,F,,,24.7,24.7,108,109,38,1,1,WX.BX|LX.RM,,SQ,nest number wrong in field notes
2006_A1,2006,802109713,505,1899-12-31 21:50:00,M,A,1,26.4,26.3,111,112,38.5,0,1,BX.WX|SX.GM,,CK,Rings changed: previously BX.WX|XX.GM
2006_A1,2006,CA226,506,1899-12-31 08:00:00,F,A,1,24.6,24.7,106,107,38.5,1,1,RX.MX|RX.YX,,CK,
2006_A101,2006,CA103,527,1899-12-31 10:15:00,F,A,101,25.8,25.8,106,107,42.75,1,1,YX.MX|RX.WX,,SQ,
2006_A101,2006,CA050,602,1899-12-31 20:40:00,M,A,101,25.3,25.5,107,109,38.25,1,1,WX.MX|LX.LX,,CK,
2006_A101,2006,CA087,606,1899-12-31 16:30:00,J,A,101,17.9,17.9,,,6.4,,1,MX.XX|WX.XX,,CK,
2006_A101,2006,CA088,607,1899-12-31 16:30:00,J,A,101,17.4,17.5,,,6.3,,1,MX.XX|WX.XX,,CK,
2006_A101,2006,CA087,611,1899-12-31 21:35:00,J,A,101,19.1,19.1,,,4.9,,0,MX.XX|WX.XX,,CK,
2006_A101,2006,CA088,611,1899-12-31 21:35:00,J,A,101,19.6,19.6,,,5.5,,0,MX.XX|WX.XX,,CK,
2006_A102,2006,802122930,515,1899-12-31 10:30:00,F,A,102,25.9,25.8,95,105,39.25,2,1,YX.MX|BX.GX,,SQ,
2006_A103,2006,CA102,527,1899-12-31 09:15:00,F,A,103,25.7,25.7,109,109,42,1,1,YX.MX|OX.LX,,SQ,
2006_A103,2006,CA052,602,1899-12-31 21:45:00,M,A,103,24.7,24.7,109,111,40,1,1,WX.MX|LX.OX,,CK,
2006_A103,2006,CA075,605,1899-12-31 15:30:00,J,A,103,18.9,18.8,,,6.8,,1,MX.XX|RX.XX,,CK,
2006_A103,2006,CA076,605,1899-12-31 15:30:00,J,A,103,18.8,18.9,,,6.9,,1,MX.XX|RX.XX,,CK,
2006_A103,2006,CA086,606,1899-12-31 15:50:00,J,A,103,17.8,17.9,,,6.6,,1,MX.XX|RX.XX,,CK,
2006_A104,2006,802109760,527,1899-12-31 08:25:00,F,A,104,26.2,26.3,109,109,42.75,2,1,WX.BX|BX.YM,,SQ,
