"","X","Nest_ID","Female_ID","Male_ID","Female_dur_care","Male_dur_care","Hatching_date","Year","Chick","Chick_ID","Chick_surv_age","Hatching_date_ch","Fate","Cap_date","Cap_age","Chick_weight","Left_tarsus_ch","Right_tarsus_ch","Mean_tarsus_ch","Mean_brood_weight","Mean_brood_tarsus","Chick_CI","Mean_brood_CI","Max_chick_CI"
"1",1,"2006_A101","CA103","CA050",8,8,"2006-06-06",2006,1,"CA087",8,"2006-06-06","died","2006-06-06",0,6.4,17.9,17.9,17.9,6.35,17.675,6.26971420520117,6.22073206297303,6.26971420520117
"2",2,"2006_A104","802109760","CA051",2.5,15,"2006-06-10",2006,1,"CA207",14.5,"2006-06-10","unknown","2006-06-10",0,6.3,18.8,18.9,18.85,6.35,18.35,5.70462844720958,5.74990327615569,5.7951781051018
"3",3,"2006_A5","802122914","CA328",3,7,"2006-05-29",2006,1,"CA022",6.5,"2006-05-29","died","2006-05-29",0,5.8,17.9,17.8,17.85,5.8,17.5,5.80190547793677,5.80190547793677,5.80190547793677
"4",4,"2006_A7","802122913","CA1545",26,26,"2006-05-31",2006,1,"CA032",26,"2006-05-31","fledged","2006-05-31",0,6.1,18.3,18.3,18.3,6.03333333333333,17.7833333333333,5.89962949090591,5.83515266586868,5.89962949090591
"5",5,"2006_B-1","802109777","11",2,14,"2006-06-06",2006,1,"CA083",10.5,"2006-06-06","unknown","2006-06-06",0,5.4,16,16,16,5.46666666666667,17.1333333333333,5.64739809133661,5.71711905542718,5.75197953747247
"6",6,"2006_B2","CA245","802122903",2,26,"2006-05-29",2006,1,"CA023",26,"2006-05-29","fledged","2006-05-29",0,6.3,18.3,18.2,18.25,6.3,18.25,5.77046860934766,5.77046860934766,5.77046860934766
"7",7,"2006_B208","CA126","CA091",1,26,"2006-06-07",2006,1,"CA089",26,"2006-06-07","fledged","2006-06-07",0,6.8,17.4,17.3,17.35,6.55,17.325,6.94732570027916,6.69190931423948,6.94732570027916
"8",8,"2006_B4","802122928","802122925",5.5,26,"2006-06-02",2006,1,"CA045",26,"2006-06-02","fledged","2006-06-02",0,4.6,16.6,16.5,16.55,5.23333333333333,16.7166666666667,5.06601015500051,5.76350430677595,6.16731671043541
"9",9,"2006_B5","802109721","CA057",26,26,"2006-06-05",2006,1,"CA072",26,"2006-06-05","fledged","2006-06-05",0,6.4,17.5,17.5,17.5,6.5,17.9833333333333,6.04609718605295,6.14056745458502,6.42397826018125
"10",10,"2006_B6","RX.WX|YX.WX","RX.WX|YX.BX",4.5,17,"2006-06-05",2006,1,"CA070",17,"2006-06-05","died","2006-06-05",0,5.8,18.4,18.3,18.35,6.05,18.025,5.4527109639007,5.68774160889642,5.92277225389214
"11",11,"2006_C10","CA034","CA013",1.5,18,"2006-06-12",2006,1,"CA218",18,"2006-06-12","unknown","2006-06-12",0,6,18.6,18.6,18.6,6,18.6,5.28076237444278,5.28076237444278,5.28076237444278
"12",12,"2006_C105","CA219","802122906",1,26,"2006-05-27",2006,1,"CA105",26,"2006-05-27","fledged","2006-05-27",0,6.4,18.4,18.4,18.4,5.9,17.6,6.32595254167706,5.83173749935854,6.32595254167706
"13",13,"2006_C107","RX.WX|RX.GX","YX.BX|BX.RX",2,26,"2006-06-01",2006,1,"CA038",26,"2006-06-01","fledged","2006-06-01",0,6.3,17.2,17.3,17.25,6.2,17.475,6.32101789813811,6.22068428070734,6.32101789813811
"14",14,"2006_C12","CA010","CA054",5,5,"2006-06-08",2006,1,"CA095",5,"2006-06-08","unknown","2006-06-08",0,6.8,17.8,17.8,17.8,6.8,17.8,6.56371122517162,6.56371122517162,6.56371122517162
"15",15,"2006_C13","CA036","CA008",1,5,"2006-06-16",2006,1,"CA167",5,"2006-06-16","unknown","2006-06-16",0,5.8,17.5,17.5,17.5,5.93333333333333,17.5333333333333,5.77876619583443,5.91161139573867,6.07766789561897
"16",16,"2006_C16","CA047","CA114",5,5,"2006-06-15",2006,1,"CA157",5,"2006-06-15","unknown","2006-06-15",0,5.9,17.4,17.4,17.4,5.93333333333333,16.9166666666667,6.33743483332878,6.37323954990126,6.55226313276366
"17",17,"2006_C20","CA137","CA107",3,3,"2006-07-03",2006,1,"CA302",3,"2006-07-03","unknown","2006-07-03",0,6.6,16.2,16.1,16.15,6.45,16.6,7.3763159148934,7.20867237137309,7.3763159148934
"18",18,"2006_C206","CA136","9",24,24,"2006-06-14",2006,1,"CA147",23.5,"2006-06-14","unknown","2006-06-14",0,6,18.4,18.7,18.55,6.2,18.6666666666667,5.24123444431116,5.41594225912153,5.67800398133709
"19",19,"2006_C210","CA151","CA201",14,14,"2006-06-26",2006,1,"CA249",14,"2006-06-26","died","2006-06-26",0,6.1,17.9,18,17.95,6.06666666666667,18.0833333333333,5.69596836373876,5.66484285355439,5.78934489429185
"20",20,"2006_C211","CA096","CA098",7,7,"2006-06-25",2006,1,"CA246",6,"2006-06-25","unknown","2006-06-25",0,5.9,17.6,17.5,17.55,5.9,17.55,5.86668291381818,5.86668291381818,5.86668291381818
"21",21,"2006_C5","802109742","CA007",2.5,26,"2006-06-03",2006,1,"CA056",26,"2006-06-03","fledged","2006-06-03",0,6.1,16.9,17,16.95,6.1,16.95,6.52523290496964,6.52523290496964,6.52523290496964
"22",22,"2006_C7","CA002","CA2221",2,26,"2006-06-02",2006,1,"CA053",26,"2006-06-02","fledged","2006-06-02",0,6,17,17.1,17.05,6,17.05,6.3394649241915,6.3394649241915,6.3394649241915
"23",23,"2006_C8","CA015","CA029",1,4,"2006-06-08",2006,1,"CA094",3.5,"2006-06-08","died","2006-06-08",0,6.3,17.9,18,17.95,6.3,17.95,5.9748603114755,5.9748603114755,5.9748603114755
"24",24,"2006_D1","BX.WX|GX.BX","802122919",4,26,"2006-05-19",2006,1,"802122932",26,"2006-05-19","fledged","2006-05-19",0,5.8,16.2,16.3,16.25,6.03333333333333,16.3833333333333,6.66355197915661,6.93162590935256,7.12310728806396
"25",25,"2006_D11","CA019","CA069",4,4,"2006-06-11",2006,1,"CA214",3.5,"2006-06-11","died","2006-06-11",0,6.3,17.8,17.8,17.8,6.35,17.7,6.15345810296679,6.20229507203796,6.25113204110912
"26",26,"2006_D113","CA063","CA078",3.5,26,"2006-06-06",2006,1,"CA119",26,"2006-06-06","fledged","2006-06-06",0,6.5,16.9,16.9,16.9,6.5,16.6,7.26455355254653,7.26455355254653,7.5439594584137
"27",27,"2006_D116","BX.WX|BX.SX","802109713",8.5,15,"2006-06-20",2006,1,"CA194",15,"2006-06-20","died","2006-06-20",0,6.7,18.5,18.4,18.45,6.46666666666667,18.05,6.28051457010069,6.06179018208723,6.37425359353503
"28",28,"2006_D117","CA060","CA049",1,10,"2006-06-04",2006,1,"CA059",10,"2006-06-04","died","2006-06-04",0,6.1,16.6,16.4,16.5,6.1,16.5,6.90456162299635,6.90456162299635,6.90456162299635
"29",29,"2006_D118","CA122","CA109",2,13,"2006-06-12",2006,1,"CA160",12.5,"2006-06-12","died","2006-06-15",-3,NA,19.2,19.4,NA,NA,NA,NA,NA,NA
"30",30,"2006_D119","CA061","CA048",7,9,"2006-06-20",2006,1,"CA199",8,"2006-06-20","unknown","2006-06-20",0,6.1,18,18.2,18.1,6.26666666666667,17.5666666666667,6.0534747584318,6.21887024363485,6.45042392291913
"31",31,"2006_D17","CA173","CA2073",5,5,"2006-06-24",2006,1,"CA237",4.5,"2006-06-24","unknown","2006-06-24",0,6.1,17.5,17.6,17.55,6.33333333333333,17.5333333333333,6.07766789561897,6.31014699545139,6.67547129518805
"32",32,"2006_D18","CA190","CA180",3,3,"2006-07-06",2006,1,"CA312",3,"2006-07-06","unknown","2006-07-06",0,6.3,17.2,17.2,17.2,6.3,17.2,6.53511702314113,6.53511702314113,6.53511702314113
"33",33,"2006_D2","802109785","BX.WX|LX.XX",3.5,16,"2006-05-26",2006,1,"CA004",12.5,"2006-05-26","died","2006-05-26",0,5.6,16.8,16.7,16.75,6.1,17.6,5.53520847396742,6.02942351628594,6.32595254167705
"34",34,"2006_D202","CA099","CA210",3,3,"2006-06-28",2006,1,"CA258",3,"2006-06-28","died","2006-06-28",0,7,16.8,16.7,16.75,6.75,16.85,7.58159876633077,7.31082738181896,7.58159876633077
"35",35,"2006_D203","BX.WX|GX.BX","CA211",2,3,"2006-06-28",2006,1,"CA257",3,"2006-06-28","unknown","2006-06-28",0,6.4,18.4,18.6,18.5,6.4,18.5,5.6969433673538,5.6969433673538,5.6969433673538
"36",36,"2006_D21","802122911","CA143",5,5,"2006-06-23",2006,1,"CA232",5,"2006-06-23","unknown","2006-06-23",0,6.8,18.5,18.5,18.5,6.7,17.875,6.50601057088584,6.4103339448434,6.50601057088584
"37",37,"2006_D22","CA144","CA179",5,5,"2006-06-30",2006,1,"CA270",5,"2006-06-30","unknown","2006-06-30",0,6.4,17,17.1,17.05,6.75,16.95,6.84614599865666,7.2205446079582,7.59494321725973
"38",38,"2006_D24","CA245","CA230",3,3,"2006-07-07",2006,1,"CA319",3,"2006-07-07","unknown","2006-07-07",0,6.5,18,18.1,18.05,6.25,17.95,6.16453841660171,5.92744078519395,6.16453841660171
